HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
00:00	25.1	18.7	433.92	50	0	1.00	0
00:05	25.1	18.7	438.72	50	0	1.00	0
00:10	25.1	18.7	430.72	50	0	1.00	0
00:15	25.1	18.7	432.96	50	0	1.00	0
00:20	25.1	18.7	445.76	50	0	1.00	0
00:25	25.1	18.7	437.76	50	0	1.00	0
00:30	25.1	18.7	442.88	50	0	1.00	0
00:35	25.1	18.7	440.96	50	0	1.00	0
00:40	25.1	18.7	444.80	50	0	1.00	0
00:45	25.1	18.7	433.92	50	1	1.00	0
00:50	25.1	17.7	440.00	50	0	1.00	0
00:55	25.1	17.7	448.00	50	0	1.00	0
01:00	25.1	17.7	436.80	50	0	1.00	0
01:05	25.1	17.7	434.88	50	0	1.00	0
01:10	25.1	17.7	428.80	50	0	1.00	0
01:15	25.1	17.7	434.88	50	0	1.00	0
01:20	25.1	17.7	429.76	50	0	1.00	0
01:25	25.1	17.7	429.76	50	0	1.00	0
01:30	25.1	17.7	438.72	50	1	1.00	0
01:35	25.1	17.7	436.80	50	0	1.00	0
01:40	25.0	17.7	437.76	50	0	1.00	0
01:45	25.1	17.7	438.72	50	0	1.00	0
01:50	25.1	17.7	442.88	50	0	1.00	0
01:55	25.1	17.7	437.76	50	0	1.00	0
02:00	25.0	17.7	442.88	50	0	1.00	0
02:05	25.0	17.7	446.72	50	1	1.00	0
02:10	25.1	17.7	437.76	50	0	1.00	0
02:15	25.0	17.7	432.00	50	0	1.00	0
02:20	25.0	17.7	443.84	50	0	1.00	0
02:25	25.0	17.7	437.76	50	0	1.00	0
02:30	25.0	17.7	440.96	50	0	1.00	0
02:35	25.0	17.7	437.76	50	0	1.00	0
02:40	25.0	17.7	440.96	50	0	1.00	0
02:45	25.0	17.7	437.76	50	0	1.00	0
02:50	25.0	17.7	440.96	50	0	1.00	0
02:55	25.0	17.7	435.84	50	0	1.00	0
03:00	25.0	17.7	433.92	50	0	1.00	0
03:05	25.0	17.7	435.84	50	0	1.00	0
03:10	25.0	17.7	435.84	50	0	1.00	0
03:15	25.0	17.7	441.92	50	0	1.00	0
